Comments,English,Deutsch ,Italiano,Français
In admin,Event,,,Événement
In admin,Events,,,Événements
,German,Deutsch ,Tedesco,Allemand
,French,Französich,Francese,Français
,Italian,Italienisch,Italiano,Italien
,English,English,Inglese,Anglais
,ThinkingDay.ch,ThinkingDay.ch,ThinkingDay.ch,ThinkingDay.ch
Slogan,"ThinkingDay.ch is a platform to allow scouts from Switzerland to gather together online and honour the World Thinking Day, each year on the 22nd of February.",,,"ThinkingDay.ch est une plateforme pour permettre aux scouts de suisse de se rencontrer en ligne et honorer le World Thinking Day, fêté chaque année le 22 février."
,Phone,Telefon,Telefono,Téléphone
,E-mail,E-mail,E-Mail,Courriel
PBS email,info@pfadi.ch,info@pfadi.ch,,info@scouts.ch
,Scouts on Facebook,Pfadi auf Facebook,,Les scouts sur Facebook
,Our partners:,Unsere Partner:,,Nos partenaires :
,PBS,PBS,MSS,MSdS
,Homepage,Hauptseite,,Page d'accueil
,Swiss scouts,Schweizerische Pfadis,,Scouts suisses
,http://www.scout.ch,http://www.scout.ch/de,http://www.scout.ch/it,http://www.scout.ch/fr
,ecke_de.png,ecke_de.png,ecke_it.png,ecke_fr.png
,Subscribe now!,,,Inscris-toi maintenant!
,Sign Up,,,S'enregistrer
%s(user)s muss bleiben !,"You are already connected as <b>%(user)s</b>, you cannot subscribe again!",,,"Tu es déjà connecté comme %(user)s, tu ne peux pas te ré-inscrire !"
,Sign out,,,Se déconnecter
,Administration,Administration,Administration,Administration
,Thanks for the registration!,,,Merci pour l'enregistrement!
,We will keep you posted on the next steps.,,,Nous te tiendrons informé des prochaines étapes!
,See you on the 22nd of February!,,,Au 22 février !
,,,,"Chaque année, le World Thinking Day est l'occasion pour les scouts du monde entier de célébrer les naissances des fondateurs du scoutisme, Olave Baden-Powell et son mari. Le thème 2015 est « Mettre en place un partenariat mondial pour le développement »."
,,,,Le MSdS propose de célébrer ensemble cette journée sur la plateforme interactive ThinkingDay.ch.
,,,,"Le concept de la plateforme, encore en développement, est de permettre à tous les scouts et sympathisants du mouvement de se réunir en ligne durant la journée du Thinking Day 2015. Chacun pourra alors déposer des messages sur une grande carte interactive, consulter les messages des autres et ainsi vivre la journée en contact avec d'autres scouts de tous horizons."
,,,,"En t'inscrivant maintenant sur la plateforme, tu recevras un courriel de rappel quelques jours avant le ThinkingDay avec plus de précisions sur le fonctionnement de la plateforme."
